Product,ClassificationCategory,Attribute,Value,Unit,Position,Language
100102000001,centrifugal-pumps,head,40,m,1,ja
100102000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,pt
100102000001,pumps,maximum_flow_rate,120,m3h,1,pt
100102000001,centrifugal-pumps,head,40,m,1,pt
100102000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,zh
100102000001,pumps,maximum_flow_rate,120,m3h,1,zh
100102000001,centrifugal-pumps,head,40,m,1,zh
100102000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,de
100102000002,pumps,maximum_flow_rate,200,m3h,1,de
100102000002,centrifugal-pumps,head,55,m,1,de
100102000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,en
100102000002,pumps,maximum_flow_rate,200,m3h,1,en
100102000002,centrifugal-pumps,head,55,m,1,en
100102000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,es
100102000002,pumps,maximum_flow_rate,200,m3h,1,es
100102000002,centrifugal-pumps,head,55,m,1,es
100102000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,ja
100102000002,pumps,maximum_flow_rate,200,m3h,1,ja
100102000002,centrifugal-pumps,head,55,m,1,ja
100102000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,pt
100102000002,pumps,maximum_flow_rate,200,m3h,1,pt
100102000002,centrifugal-pumps,head,55,m,1,pt
100102000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,zh
100102000002,pumps,maximum_flow_rate,200,m3h,1,zh
100102000002,centrifugal-pumps,head,55,m,1,zh
100103000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,de
100103000001,pumps,maximum_flow_rate,12,m3h,1,de
100103000001,centrifugal-pumps,head,80,m,1,de
100103000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,en
100103000001,pumps,maximum_flow_rate,12,m3h,1,en
100103000001,centrifugal-pumps,head,80,m,1,en
100103000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,es
100103000001,pumps,maximum_flow_rate,12,m3h,1,es
100103000001,centrifugal-pumps,head,80,m,1,es
100103000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,ja
100103000001,pumps,maximum_flow_rate,12,m3h,1,ja
100103000001,centrifugal-pumps,head,80,m,1,ja
100103000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,pt
100103000001,pumps,maximum_flow_rate,12,m3h,1,pt
100103000001,centrifugal-pumps,head,80,m,1,pt
100103000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,zh
100103000001,pumps,maximum_flow_rate,12,m3h,1,zh
100103000001,centrifugal-pumps,head,80,m,1,zh
100103000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,de
100103000002,pumps,maximum_flow_rate,18,m3h,1,de
100103000002,centrifugal-pumps,head,120,m,1,de
100103000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,en
100103000002,pumps,maximum_flow_rate,18,m3h,1,en
100103000002,centrifugal-pumps,head,120,m,1,en
100103000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,es
100103000002,pumps,maximum_flow_rate,18,m3h,1,es
100103000002,centrifugal-pumps,head,120,m,1,es
100103000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,ja
100103000002,pumps,maximum_flow_rate,18,m3h,1,ja
100103000002,centrifugal-pumps,head,120,m,1,ja
100103000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,pt
100103000002,pumps,maximum_flow_rate,18,m3h,1,pt
100103000002,centrifugal-pumps,head,120,m,1,pt
100103000002,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,zh
100103000002,pumps,maximum_flow_rate,18,m3h,1,zh
100103000002,centrifugal-pumps,head,120,m,1,zh
100201000001,pumps,maximum_flow_rate,2,m3h,1,de
100201000001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,de
100201000001,positive_displacement_pumps,maximum_pressure,10,bar,1,de
100201000001,pumps,maximum_flow_rate,2,m3h,1,en
100201000001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,en
100201000001,positive_displacement_pumps,maximum_pressure,10,bar,1,en
100201000001,pumps,maximum_flow_rate,2,m3h,1,es
100201000001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,es
100201000001,positive_displacement_pumps,maximum_pressure,10,bar,1,es
100201000001,pumps,maximum_flow_rate,2,m3h,1,ja
100201000001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,ja
100201000001,positive_displacement_pumps,maximum_pressure,10,bar,1,ja
100201000001,pumps,maximum_flow_rate,2,m3h,1,pt
100201000001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,pt
100201000001,positive_displacement_pumps,maximum_pressure,10,bar,1,pt
100201000001,pumps,maximum_flow_rate,2,m3h,1,zh
100201000001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,zh
100201000001,positive_displacement_pumps,maximum_pressure,10,bar,1,zh
100201000002,pumps,maximum_flow_rate,4,m3h,1,de
100201000002,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,de
100201000002,positive_displacement_pumps,maximum_pressure,7,bar,1,de
100201000002,pumps,maximum_flow_rate,4,m3h,1,en
100201000002,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,en
100201000002,positive_displacement_pumps,maximum_pressure,7,bar,1,en
100201000002,pumps,maximum_flow_rate,4,m3h,1,es
100201000002,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,es
100201000002,positive_displacement_pumps,maximum_pressure,7,bar,1,es
100201000002,pumps,maximum_flow_rate,4,m3h,1,ja
100201000002,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,ja
100201000002,positive_displacement_pumps,maximum_pressure,7,bar,1,ja
100201000002,pumps,maximum_flow_rate,4,m3h,1,pt
100201000002,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,pt
100201000002,positive_displacement_pumps,maximum_pressure,7,bar,1,pt
100201000002,pumps,maximum_flow_rate,4,m3h,1,zh
100201000002,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,zh
100201000002,positive_displacement_pumps,maximum_pressure,7,bar,1,zh
100202000001,pumps,maximum_flow_rate,30,m3h,1,de
100202000001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,de
100202000001,positive_displacement_pumps,maximum_pressure,8,bar,1,de
100202000001,pumps,maximum_flow_rate,30,m3h,1,en
100202000001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,en
100202000001,positive_displacement_pumps,maximum_pressure,8,bar,1,en
100202000001,pumps,maximum_flow_rate,30,m3h,1,es
100202000001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,es
100202000001,positive_displacement_pumps,maximum_pressure,8,bar,1,es
100202000001,pumps,maximum_flow_rate,30,m3h,1,ja
100202000001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,ja
100202000001,positive_displacement_pumps,maximum_pressure,8,bar,1,ja
100202000001,pumps,maximum_flow_rate,30,m3h,1,pt
100202000001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,pt
100202000001,positive_displacement_pumps,maximum_pressure,8,bar,1,pt
100202000001,pumps,maximum_flow_rate,30,m3h,1,zh
100202000001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,zh
100202000001,positive_displacement_pumps,maximum_pressure,8,bar,1,zh
100202000002,pumps,maximum_flow_rate,60,m3h,1,de
100202000002,positive_displacement_pumps,displacement_volume,400,cm3_rev,1,de
100202000002,positive_displacement_pumps,maximum_pressure,10,bar,1,de
100202000002,pumps,maximum_flow_rate,60,m3h,1,en
100202000002,positive_displacement_pumps,displacement_volume,400,cm3_rev,1,en
100202000002,positive_displacement_pumps,maximum_pressure,10,bar,1,en
100202000002,pumps,maximum_flow_rate,60,m3h,1,es
100202000002,positive_displacement_pumps,displacement_volume,400,cm3_rev,1,es
100202000002,positive_displacement_pumps,maximum_pressure,10,bar,1,es
100202000002,pumps,maximum_flow_rate,60,m3h,1,ja
100202000002,positive_displacement_pumps,displacement_volume,400,cm3_rev,1,ja
100202000002,positive_displacement_pumps,maximum_pressure,10,bar,1,ja
100202000002,pumps,maximum_flow_rate,60,m3h,1,pt
100202000002,positive_displacement_pumps,displacement_volume,400,cm3_rev,1,pt
100202000002,positive_displacement_pumps,maximum_pressure,10,bar,1,pt
100202000002,pumps,maximum_flow_rate,60,m3h,1,zh
100202000002,positive_displacement_pumps,displacement_volume,400,cm3_rev,1,zh
100202000002,positive_displacement_pumps,maximum_pressure,10,bar,1,zh
100201000001001,pumps,maximum_flow_rate,2,m3h,1,de
100201000001001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,de
100201000001001,positive_displacement_pumps,maximum_pressure,10,bar,1,de
100201000001001,pumps,maximum_flow_rate,2,m3h,1,en
100201000001001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,en
100201000001001,positive_displacement_pumps,maximum_pressure,10,bar,1,en
100201000001001,pumps,maximum_flow_rate,2,m3h,1,es
100201000001001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,es
100201000001001,positive_displacement_pumps,maximum_pressure,10,bar,1,es
100201000001001,pumps,maximum_flow_rate,2,m3h,1,ja
100201000001001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,ja
100201000001001,positive_displacement_pumps,maximum_pressure,10,bar,1,ja
100201000001001,pumps,maximum_flow_rate,2,m3h,1,pt
100201000001001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,pt
100201000001001,positive_displacement_pumps,maximum_pressure,10,bar,1,pt
100201000001001,pumps,maximum_flow_rate,2,m3h,1,zh
100201000001001,positive_displacement_pumps,displacement_volume,50,cm3_rev,1,zh
100201000001001,positive_displacement_pumps,maximum_pressure,10,bar,1,zh
100201000002001,pumps,maximum_flow_rate,4,m3h,1,de
100201000002001,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,de
100201000002001,positive_displacement_pumps,maximum_pressure,7,bar,1,de
100201000002001,pumps,maximum_flow_rate,4,m3h,1,en
100201000002001,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,en
100201000002001,positive_displacement_pumps,maximum_pressure,7,bar,1,en
100201000002001,pumps,maximum_flow_rate,4,m3h,1,es
100201000002001,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,es
100201000002001,positive_displacement_pumps,maximum_pressure,7,bar,1,es
100201000002001,pumps,maximum_flow_rate,4,m3h,1,ja
100201000002001,positive_displacement_pumps,displacement_volume,80,cm3_rev,1,ja
100202000001001,pumps,maximum_flow_rate,60,m3h,1,de
100202000001001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,de
100202000001001,positive_displacement_pumps,maximum_pressure,7,bar,1,de
100202000001001,pumps,maximum_flow_rate,60,m3h,1,en
100202000001001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,en
100202000001001,positive_displacement_pumps,maximum_pressure,7,bar,1,en
100202000001001,pumps,maximum_flow_rate,60,m3h,1,es
100202000001001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,es
100202000001001,positive_displacement_pumps,maximum_pressure,7,bar,1,es
100202000001001,pumps,maximum_flow_rate,60,m3h,1,ja
100202000001001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,ja
100202000001001,positive_displacement_pumps,maximum_pressure,7,bar,1,ja
100202000001001,pumps,maximum_flow_rate,60,m3h,1,pt
100202000001001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,pt
100202000001001,positive_displacement_pumps,maximum_pressure,7,bar,1,pt
100202000001001,pumps,maximum_flow_rate,60,m3h,1,zh
100202000001001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,zh
100202000001001,positive_displacement_pumps,maximum_pressure,8,bar,1,zh
100202000002001,pumps,maximum_flow_rate,60,m3h,1,de
100202000002001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,de
100202000002001,positive_displacement_pumps,maximum_pressure,10,bar,1,de
100202000002001,pumps,maximum_flow_rate,60,m3h,1,en
100202000002001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,en
100202000002001,positive_displacement_pumps,maximum_pressure,10,bar,1,en
100202000002001,pumps,maximum_flow_rate,60,m3h,1,es
100202000002001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,es
100202000002001,positive_displacement_pumps,maximum_pressure,10,bar,1,es
100202000002001,pumps,maximum_flow_rate,60,m3h,1,ja
100202000002001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,ja
100202000002001,positive_displacement_pumps,maximum_pressure,10,bar,1,ja
100202000002001,pumps,maximum_flow_rate,60,m3h,1,pt
100202000002001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,pt
100202000002001,positive_displacement_pumps,maximum_pressure,10,bar,1,pt
100202000002001,pumps,maximum_flow_rate,60,m3h,1,zh
100202000002001,positive_displacement_pumps,displacement_volume,250,cm3_rev,1,zh
100202000002001,positive_displacement_pumps,maximum_pressure,10,bar,1,zh
